long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
1,0.097561,0.5,1,0,1,1,1
0,0.634146,0.15,0,0,1,0,0
0,0.097561,0.6,1,1,1,1,1
0,0.731707,0.5,0,1,1,1,1
1,0.512195,0.4,0,0,0,0,0
1,0.390244,0.85,1,1,1,1,1
1,0.95122,0.55,1,1,1,0,1
0,0.390244,0.05,0,0,0,0,0
1,0.121951,0.15,1,0,1,1,0
1,0.170732,0.15,0,0,0,0,0
0,0.268293,0.15,1,1,1,1,1
1,1,0.35,1,1,1,1,1
0,0.804878,0.05,1,1,1,1,1
1,0.756098,0.8,0,1,1,1,1
1,0.682927,0.7,0,0,0,0,0
0,0.268293,0.05,1,1,1,1,1
1,0.926829,0.45,1,1,1,1,1
1,0.634146,0.4,0,0,0,0,0
1,0.121951,0.05,0,0,0,0,0
1,0.731707,0.25,1,0,1,1,1
1,0.780488,0.6,1,1,1,1,1
1,0.341463,0.95,1,1,1,1,1
1,0.365854,0.65,1,0,0,1,0
0,0.195122,0.45,1,1,0,1,1
0,0.682927,0.1,0,0,0,0,0
1,0.219512,0.6,0,0,0,0,0
1,0.682927,0.55,0,0,0,0,0
1,0.268293,0.05,0,0,0,0,0
1,1,0.3,1,1,1,0,1
1,0.95122,0.6,1,1,1,1,1
1,0.95122,0.05,1,1,1,1,1
1,0.219512,0.85,1,1,1,1,1
1,0.097561,0.1,1,0,0,0,0
1,0.097561,0.45,1,0,0,0,0
1,0.317073,0.15,0,1,1,1,1
1,0.658537,0.5,1,1,1,1,1
1,0.365854,0.45,0,0,0,0,0
1,0.634146,0,1,0,0,0,0
0,0.512195,0.05,0,0,0,0,0
0,1,0.6,1,1,1,1,1
1,0.658537,0.4,0,0,0,0,0
1,0.731707,0.85,1,1,1,1,1
1,0.195122,0.5,1,1,1,1,1
1,0.02439,0.55,0,0,0,0,0
0,0.365854,0.6,1,1,1,1,1
1,0.170732,0.05,1,1,1,1,1
1,0.585366,0,0,0,0,0,0
1,0.560976,0.1,0,1,1,0,1
1,0.02439,0.6,1,0,1,0,0
1,0.146341,0.2,0,1,0,0,0
1,0.658537,0.15,1,1,1,0,1
1,0.341463,0.65,0,0,0,1,0
1,0.365854,0.1,0,0,0,0,0
1,0.512195,0.1,0,0,0,0,0
1,0.634146,0.1,1,1,1,1,1
1,0,0.25,0,0,1,1,0
1,0.97561,0,1,1,1,0,1
1,0.512195,0.45,1,1,1,1,1
1,0.634146,0.15,0,1,0,1,1
1,0.658537,0.4,0,0,0,0,0
1,0.463415,0.2,0,0,1,0,0
1,0.439024,0.35,0,1,1,1,1
1,0.121951,0.15,1,1,0,0,0
0,0.707317,0.25,1,1,1,1,1
1,0.609756,0.7,0,0,0,0,0
1,0.097561,0,0,0,1,1,0
