,long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender,gender_predicted
164,1,0.780488,0.55,1,1,1,1,1,1.0
552,1,0.073171,0.2,0,1,1,1,1,1.0
526,1,0.487805,0.0,0,0,0,0,0,0.0
4515,1,0.487805,0.55,0,0,0,0,0,0.0
285,1,0.682927,0.5,0,0,0,0,0,0.0
2912,0,0.073171,0.55,0,0,0,0,0,0.0
2630,0,0.609756,0.8,1,1,1,1,1,1.0
448,1,0.634146,0.5,0,0,0,0,0,0.0
2213,1,0.707317,0.0,0,0,0,0,0,0.0
2885,1,0.414634,0.1,0,0,0,0,0,0.0
2652,1,0.634146,1.0,1,1,1,1,1,1.0
432,1,0.121951,0.4,0,0,0,0,0,0.0
2040,1,0.463415,0.4,0,0,0,0,0,0.0
4383,1,0.463415,0.1,0,0,0,0,0,0.0
662,0,0.195122,0.5,1,1,0,1,1,1.0
1690,1,0.02439,0.4,0,0,0,0,0,0.0
2650,1,0.073171,0.5,0,1,0,0,0,0.0
3379,1,0.390244,0.35,0,0,0,0,0,0.0
2469,1,0.390244,0.65,1,1,1,1,1,1.0
835,1,0.902439,0.75,1,1,1,1,1,1.0
1826,1,0.707317,0.85,1,1,1,1,1,1.0
2473,1,0.390244,0.1,1,1,1,1,1,1.0
4163,1,0.243902,0.1,1,1,1,1,1,1.0
3201,1,0.560976,0.25,0,0,0,1,0,0.0
1617,1,0.97561,1.0,1,1,1,0,1,1.0
2800,1,0.292683,0.25,0,0,0,0,0,0.0
3918,1,0.707317,0.25,1,1,1,1,1,1.0
2382,1,0.463415,0.6,1,1,1,1,1,1.0
881,1,0.97561,1.0,1,1,1,1,1,1.0
77,1,0.609756,0.4,1,0,1,1,1,0.9971428571428571
4230,1,0.95122,0.65,1,1,1,1,1,1.0
3346,1,0.414634,0.7,0,0,1,0,0,0.0
3549,1,0.0,0.0,0,0,0,1,0,0.002857142857142857
176,1,0.195122,0.65,0,0,0,0,0,0.0
1651,0,0.902439,0.55,1,1,1,0,1,1.0
2774,1,0.585366,0.6,1,1,1,1,1,1.0
2784,1,0.707317,0.35,0,0,0,0,0,0.0
31,1,0.219512,0.85,1,1,1,1,1,1.0
1103,1,0.121951,0.2,0,0,0,0,0,0.0
3763,0,0.463415,0.65,1,1,1,1,1,1.0
2328,1,0.243902,0.5,0,0,0,0,0,0.0
3081,0,0.219512,0.7,1,1,1,0,1,1.0
238,1,0.682927,0.65,0,1,1,1,1,1.0
2468,0,0.341463,0.05,1,0,1,1,1,1.0
4772,1,0.097561,0.9,1,1,0,1,1,1.0
4677,1,0.97561,0.75,0,1,1,1,1,1.0
2692,1,0.02439,0.55,1,0,0,1,0,0.44
3928,1,0.195122,0.7,1,0,0,0,0,0.002857142857142857
2532,1,0.560976,0.45,1,1,1,1,1,1.0
4107,1,0.780488,0.8,1,1,1,1,1,1.0
936,1,0.292683,0.45,1,1,1,1,1,1.0
1463,1,0.658537,0.55,1,0,1,1,1,0.9581904761904763
235,1,0.902439,0.15,1,1,1,1,1,1.0
4481,1,0.926829,0.9,1,0,1,1,1,1.0
1542,1,0.02439,0.05,1,0,0,0,0,0.0
3148,1,0.390244,0.65,1,1,1,1,1,1.0
2551,0,0.243902,0.35,1,1,1,1,1,1.0
824,1,0.02439,0.55,0,1,0,0,0,0.0
13,1,0.756098,0.8,0,1,1,1,1,1.0
4871,1,0.341463,0.15,1,1,0,1,1,0.7057142857142857
4462,1,0.243902,0.45,1,1,1,1,1,1.0
3412,1,0.243902,0.7,1,0,0,0,0,0.002857142857142857
4463,1,0.853659,0.6,1,0,0,1,1,0.9571428571428572
2522,1,0.195122,0.55,0,1,0,0,0,0.0
42,1,0.195122,0.5,1,1,1,1,1,1.0
560,0,1.0,0.25,0,1,1,1,1,1.0
4083,1,0.121951,0.1,1,1,1,1,1,1.0
4783,1,0.829268,0.3,1,1,1,1,1,1.0
3797,1,0.219512,1.0,1,1,1,1,1,1.0
1232,1,0.121951,0.45,0,0,0,0,0,0.0
284,1,0.170732,0.6,0,0,0,1,0,0.0
3037,0,0.317073,0.2,1,1,0,1,1,0.6028571428571429
3224,1,0.512195,0.65,1,1,1,1,1,1.0
4087,1,0.487805,1.0,0,1,1,1,1,1.0
2418,1,0.463415,0.3,0,0,0,0,0,0.0
2721,1,0.756098,0.95,1,1,1,1,1,1.0
3804,1,0.853659,0.35,1,1,0,1,1,0.9942857142857143
4378,1,0.804878,0.5,1,1,0,0,1,0.9571428571428572
4437,0,0.585366,0.2,0,0,0,0,0,0.0
2511,1,0.585366,0.0,1,1,1,1,1,1.0
1198,1,0.121951,0.05,0,0,0,1,0,0.0
1100,1,0.170732,0.4,0,0,0,0,0,0.0
380,1,0.170732,0.2,1,1,1,0,1,0.9742857142857143
1565,1,0.073171,0.25,0,0,0,0,0,0.0
4672,1,0.146341,0.3,0,0,1,0,0,0.0
1474,1,0.146341,0.6,1,1,1,1,1,1.0
149,1,0.97561,0.75,1,1,1,1,1,1.0
2302,1,0.512195,0.15,0,0,0,0,0,0.0
2131,1,0.585366,0.4,1,1,1,1,1,1.0
2656,1,0.414634,0.5,0,0,0,0,0,0.0
2109,1,0.780488,0.95,1,1,1,1,1,1.0
1950,1,0.926829,0.05,1,1,1,1,1,1.0
2340,1,0.682927,0.45,1,1,1,1,1,1.0
147,1,0.121951,0.85,1,1,1,1,1,1.0
3102,1,0.878049,0.65,1,0,1,1,1,1.0
1449,1,0.097561,0.05,0,0,0,0,0,0.0
1292,1,0.292683,0.1,0,0,1,0,0,0.005714285714285714
3685,1,0.0,0.4,0,0,0,0,0,0.0
3255,1,0.073171,0.6,1,1,1,1,1,1.0
4512,1,0.243902,0.45,0,0,0,0,0,0.0
2802,1,0.97561,0.15,1,1,0,0,1,0.72
1104,1,0.634146,0.95,1,0,0,1,1,0.7857142857142857
4911,1,0.243902,0.7,0,0,0,0,0,0.0
542,1,0.02439,0.3,1,1,1,1,1,1.0
3265,0,0.097561,0.65,0,0,0,0,0,0.0
3658,1,0.170732,0.95,1,1,0,1,1,1.0
2997,0,0.609756,0.35,1,1,1,1,1,1.0
1116,1,0.926829,0.85,1,1,1,1,1,1.0
3985,1,0.853659,0.85,1,1,1,1,1,1.0
2691,1,0.414634,0.35,1,1,1,1,1,1.0
3591,1,0.341463,0.15,0,0,0,0,0,0.0
3695,1,0.414634,0.0,0,0,0,0,0,0.0
3309,1,0.121951,0.85,1,1,1,1,1,1.0
2196,1,0.121951,0.1,1,0,1,0,0,0.08571428571428572
2150,1,0.121951,0.8,1,0,0,1,1,0.9914285714285714
3767,1,0.073171,0.3,0,0,0,0,0,0.0
4750,1,0.585366,0.8,1,1,1,0,1,1.0
1328,0,0.121951,0.55,0,0,0,0,0,0.0
3114,0,0.04878,0.4,0,0,1,0,0,0.0
3990,1,0.414634,0.0,0,0,0,0,0,0.0
4351,1,0.634146,0.05,0,0,0,0,0,0.0
1318,1,0.463415,0.0,0,0,1,1,0,0.23142857142857143
841,1,0.268293,0.25,0,1,0,0,0,0.0
3236,0,0.0,0.05,0,0,0,0,0,0.0
1075,0,0.853659,0.75,1,1,1,1,1,1.0
2679,1,0.414634,0.0,1,1,1,1,1,1.0
1048,1,0.170732,0.4,0,1,0,0,0,0.0
