,long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender,gender_predicted
164,1,0.780488,0.55,1,1,1,1,1,6.879917615182897
552,1,0.073171,0.2,0,1,1,1,1,0.9942158495457813
526,1,0.487805,0.0,0,0,0,0,0,-1.7770527177641966
4515,1,0.487805,0.55,0,0,0,0,0,-1.6345618389306618
285,1,0.682927,0.5,0,0,0,0,0,-1.4048306945436662
2912,0,0.073171,0.55,0,0,0,0,0,-1.83021833374703
2630,0,0.609756,0.8,1,1,1,1,1,6.98421064259734
448,1,0.634146,0.5,0,0,0,0,0,-1.4863973452348638
2213,1,0.707317,0.0,0,0,0,0,0,-1.4482717677998393
2885,1,0.414634,0.1,0,0,0,0,0,-1.8674419307097156
2652,1,0.634146,1.0,1,1,1,1,1,8.417431514415178
432,1,0.121951,0.4,0,0,0,0,0,-1.9262256234786463
2040,1,0.463415,0.4,0,0,0,0,0,-1.7653909625931499
4383,1,0.463415,0.1,0,0,0,0,0,-1.8216734311009752
662,0,0.195122,0.5,1,1,0,1,1,1.326879243979128
1690,1,0.02439,0.4,0,0,0,0,0,-1.9203888302880932
2650,1,0.073171,0.5,0,1,0,0,0,-1.6379025397918687
3379,1,0.390244,0.35,0,0,0,0,0,-1.8511759823025904
2469,1,0.390244,0.65,1,1,1,1,1,5.949392991663371
835,1,0.902439,0.75,1,1,1,1,1,8.314081544150916
1826,1,0.707317,0.85,1,1,1,1,1,7.820651198837421
2473,1,0.390244,0.1,1,1,1,1,1,4.800321923283624
4163,1,0.243902,0.1,1,1,1,1,1,4.601873412739316
3201,1,0.560976,0.25,0,0,0,1,0,-1.655459288901079
1617,1,0.97561,1.0,1,1,1,0,1,5.550926031873107
2800,1,0.292683,0.25,0,0,0,0,0,-1.9415418607842918
3918,1,0.707317,0.25,1,1,1,1,1,5.882061313512931
2382,1,0.463415,0.6,1,1,1,1,1,5.915998089471152
881,1,0.97561,1.0,1,1,1,1,1,10.157582278154903
77,1,0.609756,0.4,1,0,1,1,1,1.957783965377799
4230,1,0.95122,0.65,1,1,1,1,1,8.188466925024699
3346,1,0.414634,0.7,0,0,1,0,0,-1.5664862738337402
3549,1,0.0,0.0,0,0,0,1,0,-1.9769626664742173
176,1,0.195122,0.65,0,0,0,0,0,-1.6919303297738644
1651,0,0.902439,0.55,1,1,1,0,1,3.5720532470097806
2774,1,0.585366,0.6,1,1,1,1,1,6.257983726825232
2784,1,0.707317,0.35,0,0,0,0,0,-1.4435030518247554
31,1,0.219512,0.85,1,1,1,1,1,6.664541042299991
1103,1,0.121951,0.2,0,0,0,0,0,-1.9978166297818527
3763,0,0.463415,0.65,1,1,1,1,1,5.930474465737966
2328,1,0.243902,0.5,0,0,0,0,0,-1.8360193819975943
3081,0,0.219512,0.7,1,1,1,0,1,1.87379218241413
238,1,0.682927,0.65,0,1,1,1,1,2.741200185782787
2468,0,0.341463,0.05,1,0,1,1,1,1.6901789154864755
4772,1,0.097561,0.9,1,1,0,1,1,3.9013383502232455
4677,1,0.97561,0.75,0,1,1,1,1,4.512292094361692
2692,1,0.02439,0.55,1,0,0,1,0,-0.23430223757543045
3928,1,0.195122,0.7,1,0,0,0,0,-1.0823668392377073
2532,1,0.560976,0.45,1,1,1,1,1,5.726484275663422
4107,1,0.780488,0.8,1,1,1,1,1,7.896450575926625
936,1,0.292683,0.45,1,1,1,1,1,5.163181884588921
1463,1,0.658537,0.55,1,0,1,1,1,2.423361678233595
235,1,0.902439,0.15,1,1,1,1,1,6.767300566544023
4481,1,0.926829,0.9,1,0,1,1,1,4.84958695754589
1542,1,0.02439,0.05,1,0,0,0,0,-1.8470705895815676
3148,1,0.390244,0.65,1,1,1,1,1,5.949392991663371
2551,0,0.243902,0.35,1,1,1,1,1,4.693101321835316
824,1,0.02439,0.55,0,1,0,0,0,-1.5498031262250356
13,1,0.756098,0.8,0,1,1,1,1,3.5044410008599924
4871,1,0.341463,0.15,1,1,0,1,1,1.1065143314004038
4462,1,0.243902,0.45,1,1,1,1,1,5.114708231801712
3412,1,0.243902,0.7,1,0,0,0,0,-1.086424566290339
4463,1,0.853659,0.6,1,0,0,1,1,0.5503663810252397
2522,1,0.195122,0.55,0,1,0,0,0,-1.567973661361335
42,1,0.195122,0.5,1,1,1,1,1,5.217827790125062
560,0,1.0,0.25,0,1,1,1,1,3.8422759495459853
4083,1,0.121951,0.1,1,1,1,1,1,4.542586079702353
4783,1,0.829268,0.3,1,1,1,1,1,6.531597597386506
3797,1,0.219512,1.0,1,1,1,1,1,7.553743687264038
1232,1,0.121951,0.45,0,0,0,0,0,-1.8937891894919452
284,1,0.170732,0.6,0,0,0,1,0,-1.4544763798029208
3037,0,0.317073,0.2,1,1,0,1,1,0.865651359580454
3224,1,0.512195,0.65,1,1,1,1,1,6.224710407511722
4087,1,0.487805,1.0,0,1,1,1,1,3.426346915396205
2418,1,0.463415,0.3,0,0,0,0,0,-1.805324108523978
2721,1,0.756098,0.95,1,1,1,1,1,8.609300056478334
3804,1,0.853659,0.35,1,1,0,1,1,2.536821788046453
4378,1,0.804878,0.5,1,1,0,0,1,0.7785552704402079
4437,0,0.585366,0.2,0,0,0,0,0,-1.7731444719272478
2511,1,0.585366,0.0,1,1,1,1,1,5.285281342692322
1198,1,0.121951,0.05,0,0,0,1,0,-2.0130898182402595
1100,1,0.170732,0.4,0,0,0,0,0,-1.9217085753066414
380,1,0.170732,0.2,1,1,1,0,1,1.0147698733067902
1565,1,0.073171,0.25,0,0,0,0,0,-1.98931400060698
4672,1,0.146341,0.3,0,0,1,0,0,-2.1498293727649522
1474,1,0.146341,0.6,1,1,1,1,1,5.52309313380367
149,1,0.97561,0.75,1,1,1,1,1,8.77121676968373
2302,1,0.512195,0.15,0,0,0,0,0,-1.7716467572661194
2131,1,0.585366,0.4,1,1,1,1,1,5.6855759556151515
2656,1,0.414634,0.5,0,0,0,0,0,-1.7435631073699542
2109,1,0.780488,0.95,1,1,1,1,1,8.72548390541664
1950,1,0.926829,0.05,1,1,1,1,1,6.87088191331595
2340,1,0.682927,0.45,1,1,1,1,1,6.16047703014077
147,1,0.121951,0.85,1,1,1,1,1,6.634163874158409
