,long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender,gender_predicted
164,1,0.780488,0.55,1,1,1,1,1,4.860675052081994
552,1,0.073171,0.2,0,1,1,1,1,1.0616735442971503
526,1,0.487805,0.0,0,0,0,0,0,-2.510195503594794
4515,1,0.487805,0.55,0,0,0,0,0,-2.696599107550199
285,1,0.682927,0.5,0,0,0,0,0,-1.976357822897171
2912,0,0.073171,0.55,0,0,0,0,0,-3.971550411210174
2630,0,0.609756,0.8,1,1,1,1,1,5.904644204425395
448,1,0.634146,0.5,0,0,0,0,0,-2.211591457819388
2213,1,0.707317,0.0,0,0,0,0,0,-1.4953992260814175
2885,1,0.414634,0.1,0,0,0,0,0,-2.9813782951412406
2652,1,0.634146,1.0,1,1,1,1,1,6.374863200478266
432,1,0.121951,0.4,0,0,0,0,0,-3.5354332085066176
2040,1,0.463415,0.4,0,0,0,0,0,-2.9926393095097126
4383,1,0.463415,0.1,0,0,0,0,0,-2.8271700359101004
662,0,0.195122,0.5,1,1,0,1,1,1.446881085573878
1690,1,0.02439,0.4,0,0,0,0,0,-3.4929760758600565
2650,1,0.073171,0.5,0,1,0,0,0,-2.513636384278449
3379,1,0.390244,0.35,0,0,0,0,0,-3.2310673051607566
2469,1,0.390244,0.65,1,1,1,1,1,4.4542856599716245
835,1,0.902439,0.75,1,1,1,1,1,5.937021892487152
1826,1,0.707317,0.85,1,1,1,1,1,5.747328656487092
2473,1,0.390244,0.1,1,1,1,1,1,3.6507028922415685
4163,1,0.243902,0.1,1,1,1,1,1,3.632099508825661
3201,1,0.560976,0.25,0,0,0,1,0,-1.867009440276263
1617,1,0.97561,1.0,1,1,1,0,1,5.523172221260204
2800,1,0.292683,0.25,0,0,0,0,0,-3.4365950259047864
3918,1,0.707317,0.25,1,1,1,1,1,4.195865962561868
2382,1,0.463415,0.6,1,1,1,1,1,4.336817488220582
881,1,0.97561,1.0,1,1,1,1,1,7.377686778594047
77,1,0.609756,0.4,1,0,1,1,1,1.5481376025341689
4230,1,0.95122,0.65,1,1,1,1,1,5.786758928416084
3346,1,0.414634,0.7,0,0,1,0,0,-2.0340764288202067
3549,1,0.0,0.0,0,0,0,1,0,-2.0773850703669794
176,1,0.195122,0.65,0,0,0,0,0,-2.974532237519888
1651,0,0.902439,0.55,1,1,1,0,1,4.028224562007523
2774,1,0.585366,0.6,1,1,1,1,1,4.506682685613882
2784,1,0.707317,0.35,0,0,0,0,0,-1.970478857053223
31,1,0.219512,0.85,1,1,1,1,1,5.356429265177482
1103,1,0.121951,0.2,0,0,0,0,0,-3.5665849945900447
3763,0,0.463415,0.65,1,1,1,1,1,5.172584957090088
2328,1,0.243902,0.5,0,0,0,0,0,-3.3230310619224
3081,0,0.219512,0.7,1,1,1,0,1,2.588935298984026
238,1,0.682927,0.65,0,1,1,1,1,2.349605378778932
2468,0,0.341463,0.05,1,0,1,1,1,2.4051691729564126
4772,1,0.097561,0.9,1,1,0,1,1,3.662377607629768
4677,1,0.97561,0.75,0,1,1,1,1,3.972270564712332
2692,1,0.02439,0.55,1,0,0,1,0,-0.024803104557186373
3928,1,0.195122,0.7,1,0,0,0,0,-1.3618916670042935
2532,1,0.560976,0.45,1,1,1,1,1,4.086502181146479
4107,1,0.780488,0.8,1,1,1,1,1,5.722148420449052
936,1,0.292683,0.45,1,1,1,1,1,3.8795525473430246
1463,1,0.658537,0.55,1,0,1,1,1,1.9612897819420283
235,1,0.902439,0.15,1,1,1,1,1,4.900932621062665
4481,1,0.926829,0.9,1,0,1,1,1,4.197107432457479
1542,1,0.02439,0.05,1,0,0,0,0,-2.3826722334397914
3148,1,0.390244,0.65,1,1,1,1,1,4.4542856599716245
2551,0,0.243902,0.35,1,1,1,1,1,4.511379448513061
824,1,0.02439,0.55,0,1,0,0,0,-2.345423199544527
13,1,0.756098,0.8,0,1,1,1,1,3.1474874022353276
4871,1,0.341463,0.15,1,1,0,1,1,0.9604010048370597
4462,1,0.243902,0.45,1,1,1,1,1,3.898029902755752
3412,1,0.243902,0.7,1,0,0,0,0,-1.3805982303554813
4463,1,0.853659,0.6,1,0,0,1,1,0.8168247480434658
2522,1,0.195122,0.55,0,1,0,0,0,-2.403764700057593
42,1,0.195122,0.5,1,1,1,1,1,4.0495354710625335
560,0,1.0,0.25,0,1,1,1,1,3.9458839707055873
4083,1,0.121951,0.1,1,1,1,1,1,3.7344733370018233
4783,1,0.829268,0.3,1,1,1,1,1,4.6258333842454675
3797,1,0.219512,1.0,1,1,1,1,1,6.184573071077573
1232,1,0.121951,0.45,0,0,0,0,0,-3.470734288820317
284,1,0.170732,0.6,0,0,0,1,0,-1.9159486844984315
3037,0,0.317073,0.2,1,1,0,1,1,0.9873933403603488
3224,1,0.512195,0.65,1,1,1,1,1,4.5566116344922065
4087,1,0.487805,1.0,0,1,1,1,1,3.415841280189717
2418,1,0.463415,0.3,0,0,0,0,0,-3.0266396246562266
2721,1,0.756098,0.95,1,1,1,1,1,6.375042573175207
3804,1,0.853659,0.35,1,1,0,1,1,2.1904098849274547
4378,1,0.804878,0.5,1,1,0,0,1,0.9087839730074094
4437,0,0.585366,0.2,0,0,0,0,0,-3.0933448883691668
2511,1,0.585366,0.0,1,1,1,1,1,4.026846176405904
1198,1,0.121951,0.05,0,0,0,1,0,-2.290842449452299
1100,1,0.170732,0.4,0,0,0,0,0,-3.5239873941125737
380,1,0.170732,0.2,1,1,1,0,1,0.9101456043721399
1565,1,0.073171,0.25,0,0,0,0,0,-3.5880529516785202
4672,1,0.146341,0.3,0,0,1,0,0,-3.059496360906813
1474,1,0.146341,0.6,1,1,1,1,1,4.393316011513029
149,1,0.97561,0.75,1,1,1,1,1,6.236073754403407
2302,1,0.512195,0.15,0,0,0,0,0,-2.7357140389906434
2131,1,0.585366,0.4,1,1,1,1,1,4.043773339759433
2656,1,0.414634,0.5,0,0,0,0,0,-3.0080662053320566
