,long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender,gender_predicted
164,1,0.780488,0.55,1,1,1,1,1,2.647053288627511
552,1,0.073171,0.2,0,1,1,1,1,0.9085068217609087
526,1,0.487805,0.0,0,0,0,0,0,-2.4874143126982573
4515,1,0.487805,0.55,0,0,0,0,0,-2.2731247944917206
285,1,0.682927,0.5,0,0,0,0,0,-2.188480051323488
2912,0,0.073171,0.55,0,0,0,0,0,-2.4170466945168902
2630,0,0.609756,0.8,1,1,1,1,1,2.733284435503797
448,1,0.634146,0.5,0,0,0,0,0,-2.2145086314036497
2213,1,0.707317,0.0,0,0,0,0,0,-2.370257180158004
2885,1,0.414634,0.1,0,0,0,0,0,-2.4874997629283553
2652,1,0.634146,1.0,1,1,1,1,1,2.743524628042401
432,1,0.121951,0.4,0,0,0,0,0,-2.5268325646869485
2040,1,0.463415,0.4,0,0,0,0,0,-2.3445718001229645
4383,1,0.463415,0.1,0,0,0,0,0,-2.4614622691958483
662,0,0.195122,0.5,1,1,0,1,1,1.1951170248588903
1690,1,0.02439,0.4,0,0,0,0,0,-2.5789142209228153
2650,1,0.073171,0.5,0,1,0,0,0,-1.3512517913054676
3379,1,0.390244,0.35,0,0,0,0,0,-2.4031040260724543
2469,1,0.390244,0.65,1,1,1,1,1,2.4782070562397207
835,1,0.902439,0.75,1,1,1,1,1,2.7893650150311506
1826,1,0.707317,0.85,1,1,1,1,1,2.7243588762374316
2473,1,0.390244,0.1,1,1,1,1,1,2.264807691469093
4163,1,0.243902,0.1,1,1,1,1,1,2.1868698320480036
3201,1,0.560976,0.25,0,0,0,1,0,-1.1749204733347764
1617,1,0.97561,1.0,1,1,1,0,1,1.7517658788482322
2800,1,0.292683,0.25,0,0,0,0,0,-2.494142559666317
3918,1,0.707317,0.25,1,1,1,1,1,2.491803820683118
2382,1,0.463415,0.6,1,1,1,1,1,2.4977614259579264
881,1,0.97561,1.0,1,1,1,1,1,2.9249973928838013
77,1,0.609756,0.4,1,0,1,1,1,1.3375441762377678
4230,1,0.95122,0.65,1,1,1,1,1,2.7765674655325236
3346,1,0.414634,0.7,0,0,1,0,0,-1.0515257612437285
3549,1,0.0,0.0,0,0,0,1,0,-1.5715869829479663
176,1,0.195122,0.65,0,0,0,0,0,-2.390379941672978
1651,0,0.902439,0.55,1,1,1,0,1,1.6173467547471114
2774,1,0.585366,0.6,1,1,1,1,1,2.562647241611879
2784,1,0.707317,0.35,0,0,0,0,0,-2.2338924678295173
31,1,0.219512,0.85,1,1,1,1,1,2.4648616744821457
1103,1,0.121951,0.2,0,0,0,0,0,-2.6047676155604496
3763,0,0.463415,0.65,1,1,1,1,1,2.5971251042112806
2328,1,0.243902,0.5,0,0,0,0,0,-2.4227751149959365
3081,0,0.219512,0.7,1,1,1,0,1,1.311676490535325
238,1,0.682927,0.65,0,1,1,1,1,1.4081245283345973
2468,0,0.341463,0.05,1,0,1,1,1,1.1370470070770473
4772,1,0.097561,0.9,1,1,0,1,1,1.219261416986297
4677,1,0.97561,0.75,0,1,1,1,1,1.602635102134351
2692,1,0.02439,0.55,1,0,0,1,0,-0.11713738845878519
3928,1,0.195122,0.7,1,0,0,0,0,-1.143393394692938
2532,1,0.560976,0.45,1,1,1,1,1,2.4915133399642793
4107,1,0.780488,0.8,1,1,1,1,1,2.743900102697326
936,1,0.292683,0.45,1,1,1,1,1,2.3487110196043366
